Code,Code (terminaison),DES,Début du nom,Objet,Date de reconnaissance,Dernière modif statuts,Catégorie,Adresse,Adresse.Adr1,Adresse.Adr2,Code Postal,Ville
75.000.0949,0949,JEUNESSE ET ENTREPRISES,,Faciliter l'emploi des jeunes et notamment leur première insertion professionnelle.,09/08/1990,15/04/2014,30000 aide à l'emploi,SIEGE,"4, rue Léo Delibes",,75116,PARIS
75.000.0950,0950,DURUFLE MAURICE ET MARIE-MADELEINE,ASSOCIATION,"Perpétuer -le plus largement possible- la mémoire de Marie-Madeleine @ Maurice Duruflé, de promouvoir et favoriser- dans tous pays, par tous moyens- la pérennité de l'œuvre de Maurice Duruflé, appréciée et jouée dans le monde entier.",12/07/2005,,06000 culture,SIEGE,"50, avenue Foch",,75116,PARIS
75.000.0952,0952,HEC ALUMNI,ASSOCIATION DES DIPLOMES HEC DITE,"Créer et entretenir avec les anciens élèves des relations amicales , venir en aide aux sociétaires.",10/01/1900,19/06/2013,15000 éducation formation,SIEGE,9 avenue Franklin Roosevelt,,75008,PARIS
75.000.0953,0953,SOCIETE DES AMIS DU MUSEE GUIMET,,Enrichir les collections de ce musée et de propager parmi ses membres la connaissance des arts asiatiques.,10/02/1971,,10000 préservation patrimoine,SIEGE,"6, place d'Iéna",,75016,PARIS
06.000.0954,0954,"SOCIETE CENTRALE D'AGRICULTURE, D'HORTICULTURE ET D'ACCLIMATATION DE NICE ET DES ALPES-MARITIMES",,"Perfectionnement des branches de l'agriculture, de l'horticulture, de l'élevage et de l'acclimatation.",29/06/1894,16/02/2010,23000 intérêts économiques,SIEGE,Palais de l'Agriculture,"113, promenade des Anglais",06200,NICE
46.000.0955,0955,CENTRE D'ECHANGES TECHNOLOGIQUES INTERNATIONAUX,,Pas de Statuts Cette association n'existe plus. Avis favorable au retrait de RUP.,30/09/1970,,23000 intérêts économiques,SIEGE,,,46090,MERCUES
06.000.0956,0956,"CENTRE FAMILIAL CHARLES VINCENT - ""EPE06""",,"Abaisser la mortalité infantile, faire protéger l'enfance contre la maladie.",02/03/1907,14/10/2016,17000 santé,SIEGE,"9, Boulevard Guynemer",,06400,CANNES
06.000.0957,0957,SOCIETE DU GONFALON - ARCHICONFRERIE DE LA SAINTE-CROIX,,"Exercer le culte catholique et secourir les malades,  à l'exclusion de toute idée politique.",17/05/1817,11/04/1978,10 Religion,SIEGE,"5, rue François Zanin",,06300,NICE
75.000.0958,0958,CENTRES PERMANENTS D'INITIATIVES POUR L'ENVIRONNEMENT (UNCPIE),UNION NATIONALE DES,Soutenir et promouvoir l'action des associations adhérentes dans le respect des principes suivants : procurer aux habitants d'un espace déterminé un outil d'animation.,04/03/1994,05/01/1998,24000 environnement,SIEGE,"26, rue Beaubourg",,75003,PARIS
75.000.0959,00959,FAMILLES RURALES,FEDERATION  NATIONALE,"Soutenir le rassemblement et la mise en réseau des associations, regroupements et fédérations Familles Rurales implantées sur le territoire français, de défendre les intérêts matériels et moraux des familles et personnes qu'elles rassemblent, et de coordonner l'action du Mouvement à l'échelle nationale.",18/02/2008,24/03/2016,19000 interventions sociales,SIEGE,"7, Cité d'Antin",,75009,PARIS
06.000.0960,0960,BOUGAINVILLEES (MAISON EVANGELIQUE DE RETRAITE),ASSOCIATION LES,"But exclusif d'assistance et de bienfaisance animé par un esprit chrétien, afin d'aider, d'assister, d'héberger les pré-malades, les malades, les enfants.",23/12/1911,08/01/1997,21000 serv familiaux p âgées,SIEGE,"2, boulevard Delaup",,06400,CANNES
06.000.0961,0961,ŒUVRE DES PAUVRES MALADES SECOURUS A DOMICILE,,Secourir et soigner chez eux les malades indigents et leur porter assistance physique et morale.,19/02/1915,,21000 serv familiaux p âgées,SIEGE,"2, rue Badat",,06300,NICE
06.000.0962,0962,SOCIETE DE SECOURS A DOMICILE POUR LES PAUVRES ET LES MALADES DE NICE,,"Venir en aide aux pauvres honteux et à leurs familles, mais surtout aux malades atteints d'une infection incurable.",30/06/1910,,21000 serv familiaux p âgées,SIEGE,,,06000,NICE
06.000.0963,0963,BEAUX-ARTS DE CANNES,ASSOCIATION DES,Pratiquer les beaux arts et en étendre le développement parmi les artistes.,27/12/1935,,06000 culture,SIEGE,"Le Suquet
Ecole de la Castre","2, rue du Barri",06400,CANNES
86.000.0964,0964,"ASAVIE ""AIDE A LA VIE""",ASSOCIATION,"aider les enfants à pouvoir se faire traiter, et de les accompagner avant, pendant et après leur cure. Et cela, grâce à une structure d’accueil à La Roche-Posay, qui les encadre et leur propose diverses activités, grâce à un réseau de correspondants...",10/02/2010,22/08/2011,06 Social,SIEGE,BP 16,,86000,LA ROCHE-POSAY
75.000.0965,0965,ASTREE,,"Contribuer à la restauration du lien social, de rompre l'isolement et de favoriser le mieux-être de personnes en situation de fragilité sociale et/ou personnelle. L'association aide ces personnes à retrouver un équilibre et à prévenir l'aggravation de leur situation (désocialisation, isolement, suicide).",04/06/2015,,,SIEGE,"3, rue Duchefdelaville",,75013,PARIS
69.000.0966,0966,HABITAT ET HUMANISME,,Insertion par le logement des personnes défavorisées accompagnée de mesures favorisant l'insertion de ces personnes dans leur environnement comme dans la vie professionnelle.,12/03/2007,,19000 interventions sociales,SIEGE :,"69, Chemin de Vassieux",,69300,CALUIRE
06.000.0967,0967,ŒUVRE ALEXANDRE PASCAL,,Traiter suivant la méthode créée et pratiquée depuis 1908 par le docteur Pascal des enfants dépourvus de ressources et prédisposés à l'infection tuberculeuse.,04/05/1939,30/11/1981,17000 santé,SIEGE,"1, avenue du Docteur Pascal",,06400,CANNES
74.000.0968,0968,"CHASSEURS DES 27E, 67E,107E BATAILLONS DE CHASSEURS",AMICALE DES ANCIENS,"Faciliter les rapports entre ses membres, leur venir en aide efficacement et leur prêter un concours entier dans toutes les circonstances.",15/08/1931,25/06/1993,"38000 armée, anc combattants",SIEGE,"1, rue de l'Intendance",,74000,ANNECY
06.000.0969,0969,SOCIETE DES AMIS DES ARBRES ET DU REBOISEMENT DES ALPES-MARITIMES,,Favoriser de de protéger les plantations d'arbres forestiers et d'arbres fruitiers.,13/02/1917,,24000 environnement,SIEGE,"11, avenue Thiers",,06110,LE CANET
54.000.0970,0970,LORRAINE POUR LA PROMOTION EN AGRICULTURE (ALPA),ASSOCIATION,"Encouragement à la formation économique, sociale et humaine des cadres ou futur cadres d'organisations syndicales, professionnelles et  agricoles.",06/10/1970,,23000 intérêts économiques,SIEGE,"2, les Noires Terres",,54740,HAROUE
75.000.0971,0971,SOCIETE DES AMIS DES CATHEDRALES,,"Aider à l'entretien et à la conservation des cathédrales et autres basiliques,  leur cadre,  de leur décoration...",12/02/1930,30/03/1950,10000 préservation patrimoine,SIEGE,"5, rue hippolyte Maindron",,75014,PARIS
69.000.0972,0972,DENIER DES ECOLES DE LA VILLE DE LYON,ASSOCIATION,Venir en aide aux enfants suivant leur scolarité dans des écoles laïques.,30/12/1898,,15000 éducation formation,SIEGE,"7, rue Mercière",,69002,LYON
07.000.0974,0974,BIENFAISANCE PARMI LES PROTESTANTS D'ANNONAY,ASSOCIATION DE,"Venir en aide aux indigents protestants domiciliés dans le département de l'Ardèche, en réunissant des ressources pour cette assistance et en contribuant au paiement des dépenses auxquelles elle donne lieu.",29/11/1906,11/10/2000,20000 caritatives humanit. dev,SIEGE,"17, chemin de la Muette",,07100,ANNONAY
75.000.0975,0975,MALADIES ORPHELINES,FEDERATION DES,"La FEDERATION  a pour objet la lutte par tous les moyens contre les maladies rares, dites orphelines, et le soutien à toutes personnes qui en souffrent.",20/01/2006,,17000 santé,SIEGE,,,75007,PARIS
93.000.0976,0976,PEUPLES SOLIDAIRES,,"- coordonner l'action de ses membres
- créer une dynamique en faveur du développement solidaire de tous les peuples et permettre à chacun/chacune d'être acteur /actrice de la construction collective d'un monde solidaire où les droits fondamentaux sont universellement respectés
- informer et favoriser la prise de conscience sur les causes de la pauvreté et des inégalités à l'échelle internationale
- mobiliser et intervenir collectivement auprès des décideurs pour dénoncer les pratiques et les décisions économiques et politiques contraires aux droits humains ; soutenir les décisions qui favorisent l'accès des populations pauvres aux droits humains
- créer des liens de solidarité et des partenariats avec des organisations des sociétés civiles des pays du Sud qui s'organisent en vue de leur développeemnt et qui défendent leurs droits
- soutenir et renforcer la lutte des femmes pour leurs droits.",27/11/2015,,,SIEGE,"2B, rue Jules Ferry",,93100,MONTREUIL
92.000.0977,0977,TOUTE L'ENFANCE EN PLEIN AIR,,"Poursuivre le développement physique, intellectuel et moral de la famille française et plus spécialement de l'enfant.",26/05/1924,19/02/2014,09000 action socioculturelle,SIEGE,"264, boulevard Saint-Denis",,92400,COURBEVOIE
75.000.0978,0978,PRIX ALBERT LONDRES,ASSOCIATION DU,Perpétuer le nom d'Albert LONDRES par la délivrance annuelle d'un prix attribué à un journaliste.,02/04/1971,02/06/2009,05000 info communication,SIEGE,"5, avenue Vélasquez",,75008,PARIS
75.000.0979,0979,SURVIVAL INTERNATIONAL,ASSOCIATION,SURVIVAL INTERNATIONAL a pour but d'aider les peuples indigène minoritaires dans le monde à exercer leur droit à la survie et à l'autodétermination conformément aux dispositions de l'article 1er du Pacte Relatif aux Droits civils et Politiques de l'ONU.,14/03/2007,,030000 défense des droits,SIEGE,"45, rue du Faubourg du Temple",,75010,PARIS
75.000.0980,0980,SOCIETE FRANCAISE D'ORTHOPEDIE DENTO-FACIALE,,"L'Association a pour but, l'avancement de l'orthopédie dento-faciale en France et dans le monde, la formation continue, le perfectionnement de ses membres dans cette discipline, l'aide à la recherche dans le domaine de l'orthopédie dento-faciale.",10/01/2005,,17000 santé,SIEGE,"10, rue Déodat de Séverac",,75017,PARIS
69.000.0981,0981,SOCIETE DES AMIS D'ANDRE-MARIE AMPERE,,Pratiquer les Beaux arts et en étendre le développement parmi les artistes.,04/04/1936,25/01/1990,06000 culture,SIEGE,Musée Ampère et de l'électricité,,69250,POLEYMIEUX-AU-MONT-D'OR
76.000.0982,0982,AMIS DES MUSEES DE LA VILLE DE ROUEN,ASSOCIATION DES,Promouvoir auprès du public tant français qu'étranger la connaissance et l'appréciation des collections desdits musées.,16/06/1993,07/01/2010,06000 culture,SIEGE,"1, place Restout",,76000,ROUEN
09.000.0983,0983,CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE HERISSON-BELLOR,,Accueillir des enfants de 6 à 12 ans cas sociaux de toutes origines sociales ou confessionnelles.,28/11/1866,29/03/1994,18000 services medico-sociaux,SIEGE,"12, rue Saint-Abdon",,09270,MAZERES
75.000.0984,0984,DAMES DU CALVAIRE,ASSOCIATION DES,Hospitaliser et soigner gratuitement les femmes pauvres atteintes de cancer avec plaies extérieures nécessitant des pansements  et qui ne peuvent être conservées dans les hôpitaux.,16/04/1923,22/12/1977,17000 santé,SIEGE,106 avenue Emile Zola,,75015,PARIS
63.000.0985,0985,SOCIETE D'HISTOIRE NATURELLE D'AUVERGNE (SHNA),,Mettre en rapport ceux qui s'intéressent à toutes les disciplines des sciences et faire œuvre post-scolaire en les vulgarisant dans le public afin de dresser un inventaire précis des richesses naturelles de l'Auvergne.,06/09/1971,,08 Culture et sciences,SIEGE,3 boulevard Lafayette,,63000,CLERMONT-FERRAND
10.000.0986,0986,NID FLEURI,ASSOCIATION LE,"Faire l'éducation physique, intellectuelle et morale d'enfants orphelins ou moralement abandonnés en particulier ceux dont la situation malheureuse résulte directement ou indirectement de la guerre mondiale.",30/06/1926,23/07/1935,09000 action socioculturelle,SIEGE, 8 Hameau Les Fossés,,10360,SAINT-USAGE
75.000.0987,0987,"CONFEDERATION DES MAISONS DES JEUNES, DE LA CULTURE  FRANCE - MJC",,Faire respecter la déclaration des principes - représenter le réseau - assurer la coordination et l'animation - participer au développement de la vie associative  - définir des orientations stratégiques  permettre l'impulsion et la promotion,03/01/2008,25/03/2010,09000 action socioculturelle,SIEGE,168 bis rue Cardinet,,75017,PARIS
10.000.0988,0988,PATRONAGES LAIQUES DE TROYES ET DE L'AGGLOMERATION,ASSOCIATION DES,"Compléter l'œuvre de l'école laïque en assurant aux enfants qui la fréquentent, la surveillance qui peut, les jours de congé et de vacances  leur manquer dans leur famille et en leur procurant, des occupations morales et salutaires.",20/12/1917,30/03/2000,15000 éducation formation,SIEGE,"100, avenue Robert Schuman - BP 2018",,10010,TROYES CEDEX
10.000.0989,0989,"SOCIETE ACADEMIQUE D'AGRICULTURE, SCIENCES, ARTS ET BELLES LETTRES (DEPARTEMENT DE L'AUBE)",,"Éclairer, de favoriser les progrès de l'agriculture et de l'industrie, de recueillir et de faire connaître tout ce qui peut être utile à l'histoire de la région, rechercher les souvenirs archéologiques, de découvrir et de faire connaître ses ressources, ses richesses et ses beautés naturelles ou artistiques,encourager et développer le goût et l'étude des arts et belles-lettres dans le département de l'Aube",15/02/1853,03/12/1964,10000 préservation patrimoine,SIEGE,"11, rue Chrestien de Troyes",,10000,TROYES
75.000.0990,0990,SOCIETE FRANCAISE DE NUTRITION (SFN),,"L'association a pour objet de contribuer au progrès des connaissances en nutrition, notamment par la recherche, de promouvoir la nutrition dans tous ses domaines d'application : santé, agronomie, agro-alimentaire, environnement, social, économie.",01/10/2003,28/01/2013,17000 santé,SIEGE,16 rue Claude Bernard,,75005,PARIS
75.000.0991,0991,SOCIETE FRANCAISE D'ODONTOLOGIE PEDIATRIQUE,,Développement et l'avancement de la pédodontie.,21/10/1970,28/09/2000,17000 santé,SIEGE,"1, rue de Pixericourt",,75020,PARIS
10.000.0992,0992,JARDINS OUVRIERS DE LA VILLE DE TROYES,ASSOCIATION DES,"Choisir parmi les ouvriers ceux qui paraissent les plus intéressants et  leur procurer un terrain, qu'ils devront cultiver et entretenir principalement en jardin potager.",30/06/1906,,07000 clubs de loisirs,SIEGE,"125, avenue Robert Schumann",,10000,TROYES
10.000.0993,0993,SOCIETE HORTICOLE VIGNERONNE ET FORESTIERE DE L'AUBE,,"Favoriser la culture des jardins, des bois, des vignes et le développement des sciences arts ou industries qui s'y rattachent.",06/11/1893,24/01/2011,23000 intérêts économiques,SIEGE,"125, avenue Robert Schumann",,10000,TROYES
12.000.0994,0994,SOCIETE DES AMIS DE VILLEFRANCHE ET DU BAS ROUERGUE,,"L'étude et la vulgarisation de l'histoire et la conservation des monuments architecturaux, iconographiques, documentaires  et littéraires de Villefranche et de l'ancienne marche appelée aussi Bas Rouergue.",24/03/1936,11/01/1990,08 Culture et sciences,SIEGE,Musée urbain Cabrol - place de la Fontaine,,12200,VILLEFRANCHE DE ROUERGUE
12.000.0995,0995,SOCIETE DES LETTRES SCIENCES ET ARTS DE L'AVEYRON,,"Concourir par tous les moyens à sa disposition au progrès des lettres, sciences et arts dans le département de l'Aveyron.",28/08/1857,28/06/1993,08 Culture et sciences,SIEGE,"2, rue de la laumière",,12000,RODEZ
75.000.0996,0996,SOCIETE FRANCAISE DE BIOCHIMIE ET BIOLOGIE MOLECULAIRE,,Contribuer au développement des études groupées sous le nom de Chimie Historique.,27/04/1933,28/01/1992,08 Culture et sciences,SIEGE,"4, avenue de l'Observatoire",,75006,PARIS
59.000.0997,0997,LIGUE PROTECTRICE DES ANIMAUX DU NORD DE LA FRANCE,,Améliorer le sort de l'animal et assurer sa protection par tous les moyens légaux.,25/06/1966,19/10/2012,24000 environnement,SIEGE,B.P. 60013,,59006,LILLE CEDEX
13.000.0998,0998,PROTESTANTE D'ASSISTANCE DE MARSEILLE ET SA BANLIEUE,ASSOCIATION,Venir en aide aux indigents protestants réformés domiciliés à Marseille ou dans sa banlieue en réunissant des ressources pour cette assistance et en contribuant au paiement des dépenses auxquelles elle donne lieu.,06/12/1906,18/02/1969,14000 amicales groupts affinit,SIEGE,"15, rue Grignan",,13006,MARSEILLE
13.000.0999,0999,ESSOR PROVENCAL,ASSOCIATION POUR L',"Faciliter la connaissance, l'accès et la protection des beautés artistiques et plus particulièrement des beautés naturelles des régions du Sud-Est de la France.",24/07/1929,13/06/1996,06000 culture,SIEGE,"16, rue de la rotonde",,13001,MARSEILLE
47.000.1000,1000,LYCEE BERNARD PALISSY A AGEN,ASSOCIATION AMICALE DES A.E. DU,Créer et entretenir entre les anciens élèves du collège et du lycée des liens étroits de camaraderie et d'affection.,31/03/1888,27/04/1987,15000 éducation formation,SIEGE,Lycée B,,47000,AGEN
13.000.1001,1001,ŒUVRE DES PRISONS  D'AIX,,Venir en aide matériellement et moralement aux détenus et aux libérés.,20/12/1833,17/03/1998,19000 interventions sociales,SIEGE,"6, rue des Epinaux",,13100,AIX-EN-PROVENCE
26.000.1002,1002,SOCIETE DE SAUVEGARDE DES MONUMENTS ANCIENS DE LA DROME,,Rechercher à faire connaître et assurer la sauvegarde des monuments et objets d'art du département de la Drôme non classés.,06/10/1967,05/01/2012,08 Culture et sciences,SIEGE,"25, côte des Cordeliers",,26100,ROMANS
13.000.1003,1003,ŒUVRE DE LA PROTECTION DU BEBE,,"Recueillir pendant la journée les enfants des femmes qui travaillent hors de chez elles,  développer les connaissances d'hygiène infantile par des consultations de nourrissons, des conseils aux mères et des cours de puériculture.",04/05/1921,,18000 services medico-sociaux,SIEGE,"1, rue Emile Tavan",,13100,AIX-EN-PROVENCE
75.000.1004,1004,FEDERATION  DES ASSOCIATIONS FRANCAISES DE SCOUTISME  ET DE GUIDISME,LE SCOUTISME FRANCAIS,Le scoutisme français fédère les différentes associations françaises qui se réclament des principes et des méthodes du scoutisme et appartiennent aux instances du scoutismes mondial.,07/10/1948,21/06/2005,09000 action socioculturelle,SIEGE,"65, rue de la Glacière",,75013,PARIS
75.000.1005,1005,"SOCIETE D'ENCOURAGEMENT DE LA BIJOUTERIE, DE LA JOAILLERIE, DE L'ORFEVRERIE ET DES INDUSTRIES QUI S'Y RATTACHENT",,Encourager dans la forme la plus appropriée à chaque circonstance le travail & les services rendus dans les industries qu'elle représente.,24/03/1876,22/04/1960,23000 intérêts économiques,SIEGE,"58, rue du Louvre",,75002,PARIS
75.000.1006,1006,ECOLE DE TRAVAIL ORT,,Encourager et mener à bien la formation professionnelle de jeunes gens et d'adultes notamment de confession israélite,18/04/1878,04/08/1961,15000 éducation formation,SIEGE,"10, Villa d'Eylau",,75009,PARIS
13.000.1007,1007,ŒUVRES DE BIENFAISANCE ET D'AIDE SOCIALE DE MARSEILLE,OFFICE CENTRAL DES,"Grouper les œuvres d'assistance, de bienf.  publiques et privées en vue de faire profiter chacune  d'elles de l'expérience de toutes  les autres et faciliter par l'établis  de rapports réguliers entre-elles, l'examen de toutes les question intéres. la charité",15/02/1930,27/12/1935,20000 caritatives humanit. dev,SIEGE,"67, rue Paradis",,00013,MARSEILLE
75.000.1008,1008,POLYARTHRITIQUES ET DES RHUMATISMES INFLAMMATOIRES CHRONIQUES,ASSOCIATION FRANCAISE DES,Aapporter toutes les informations utiles et un soutien moral aux malades et à leur famille; Promouvoir la Recherche Médicale dans le domaine de la Polyarthrite Rhumatoïde.,03/11/2009,,17000 santé,SIEGE,"9, rue de Nemours",,75001,PARIS
13.000.1009,1009,SOCIETE NAUTIQUE DE MARSEILLE,,"- encourager et développer le goût de la navigation, de l’art de la navigation à voile et des exercices nautiques, 
- instruire les jeunes dans l’art de la navigation
- subventionner les œuvres de mer, 
- promouvoir culture et éthique maritimes, 
- œuvrer pour  l’écologie maritime et la protection des mers et océans, 
- encourager et s'associer à l’étude de toutes questions se rapportant à la marine,
- contribuer à la sauvegarde du patrimoine maritime et des bateaux de tradition, et d’encourager les progrès dans la construction navale
- soutenir la compétition à la voile et le mécénat sportif dans le respect  des valeurs portées par l’association,
- s’associer et encourager toute activité locale ou internationale en relation avec ces buts,
- gérer directement ou indirectement le plan d’eau par délégation de service public ou sous tout autre forme.",02/03/1932,19/07/2016,15000 éducation formation,SIEGE,"Pavillon Flottant
Quai de Rive-Neuve",,13007,MARSEILLE
75.000.1010,1010,PETITS PRINCES,ASSOCIATION,"Réaliser le rêve d'enfants gravement malades, qui répondent aux critères retenus par l'association ; prendre en charge des projets en lien avec leur passion ; rassembler autour de ce projet la famille, l'équipe médicale, de futurs amis ; assurer ensuite un véritable ""suivi"" de ces enfants, grâce au soutien de partenaires de l'association, en proposant de nouvelles activités ou de nouvelles distractions ; promouvoir et proposer toutes formes d'actions de nature à aider les enfants et leurs familles.",02/06/2010,,17000 santé,SIEGE,"15, rue Sarrette",,75006,PARIS CEDEX
07.000.1011,1011,ACCUEIL ET LE TRAVAIL DES PERSONNES HANDICAPEES (APATPH),ASSOCIATION POUR L',L'Association a pour but la mise en œuvre des moyens nécessaires à l'insertion sociale et professionnelle des personnes handicapées.,18/12/2008,12/07/2011,18000 services medico-sociaux,SIEGE,Quartier Giraudens,,07170,LAVILLEDIEU
75.000.1012,1012,COMITE NATIONAL DES SENTIERS DE GRANDE RANDONNEE (CNSGR),FEDERATION  FRANCAISE DE LA RANDONNEE PEDESTRE (FFRP) -,"Susciter, soutenir, coordonner l'action des associations, groupes ou personnes s'occupant de la création et de l'entretien des sentiers de grande randonnée, des circuits auto-pédestres,  des sentiers touristiques & de leurs équipements complémentaires.",22/02/1971,24/09/1997,24000 environnement,SIEGE,"64, rue du Dessous des Berges",,75013,PARIS
13.000.1013,1013,FOUQUE,ASSOCIATION,Venir en aide aux enfants pauvres des deux sexes moralement abandonnés que nul établissement charitable ne peut ou ne veut recevoir.,15/03/1898,18/11/2013,18000 services medico-sociaux,SIEGE,B.P. 6,,13266,MARSEILLE CEDEX 8
13.000.1014,1014,COMITE DU VIEUX-MARSEILLE,,"Recueillir et conserver tous documents, objets ou souvenirs se rapportant à l'histoire sociale, économique et artistique de Marseille.",14/03/1924,,08 Culture et sciences,SIEGE,"21, boulevard Longchamp",,13001,MARSEILLE
92.000.1015,1015,RADIOAMATEURS AU SERVICE DE LA SECURITE CIVILE (FNRASEC),FEDERATION  NATIONALE DES,"L'association a pour objet : de réunir les associations existantes désireuses dans le cadre de leurs compétences, d'apporter leur concours aux actions menées par la Sécurité Civile, sur sa demande explicite et sous son autorité.",15/10/2012,,36000 sécurité,SIEGE,"87/95, quai du Docteur Dervaux",,92600,ASNIERES-SUR-SEINE
75.000.1016,1016,INSERTION ET LA REINSERTION PROFESSIONNELLE ET HUMAINE DES HANDICAPES (ANRH),ASSOCIATION POUR L',"Aider par le travail protégé ou à domicile toutes personnes qui en raison de leur état physique, psychique ou  de leur situation sociale, ne peuvent être occupées régulièrement dans les conditions habituelles de travail des salariés.",19/02/1968,29/10/2002,18000 services medico-sociaux,SIEGE,"17, impasse Truillot",,75007,PARIS
75.000.1017,1017,ENTRAIDE DE LA NOBLESSE FRANCAISE,ASSOCIATION D',Apporter une aide matérielle et morale à ses  membres et tout particulièrement de leur permettre d'élever leurs enfants au service du pays.,29/07/1967,18/04/1969,14000 amicales groupts affinit,SIEGE,"9, rue du Chevalier de Saint George",,75008,PARIS
13.000.1018,1018,AMIS DE L'INSTRUCTION DES LAIQUE DES BOUCHES-DU-RHONE,FEDERATION  DES,Créer des liens de solidarité entre toutes les sociétés fédérées et entre tous les membres de ces sociétés.,08/12/1926,09/11/2007,15000 éducation formation,SIEGE,"27, rue Mazeagran",,13001,MARSEILLE
13.000.1019,1019,AMIS DE L'INSTRUCTION LAIQUE DE LA BLANCARDE,LES,Favoriser la fréquentation des écoles laïques et l'éducation morale et physique des deux sexes.,12/07/1929,,15000 éducation formation,SIEGE,"22, rue Auger",,13004,MARSEILLE
38.000.1020,1020,FAMILIALE DE L'ISERE POUR ENFANTS ET ADULTES HANDICAPES INTELLECTUELS (AFIPAEIM),ASSOCIATION,"Accompagner la personne handicapée intellectuelle tout au long de son parcours de vie ; agir en faveur de l'intégration, de la participation et de la citoyenneté des personnes handicapées ; accueillir, informer et accompagner les familles des personnes..",11/03/1968,20/03/2014,18000 services medico-sociaux,SIEGE,"3, avenue Marie Reynoard",,38029,GRENOBLE CEDEX 2
13.000.1021,1021,ASILE MARCEL,ASSOCIATION,Entretenir à Marseille un ou plusieurs établissements hospitaliers destinés à recueillir des vieillards indigents protestants.,25/11/1904,25/05/1916,17000 santé,SIEGE,"16, boulevard Henri Fabre",,13012,MARSEILLE
13.000.1023,1023,ŒUVRE DU CALVAIRE,ASSOCIATION DE L',Hospitaliser et  soigner les femmes pauvres atteintes de cancer avec plaies extérieures.,08/07/1928,18/12/1991,17000 santé,SIEGE,"72, rue Chape",,13248,MARSEILLE CEDEX 4
71.000.1024,1024,ACADEMIE DE MACON,,"Susciter des travaux et des publications de littérature, sciences, arts, histoire, archéologie et tous autres domaines d'activité intellectuelle.",18/07/1829,29/01/2015,08 Culture et sciences,SIEGE,"41, rue Sigorgne",,71000,MACON
13.000.1025,1025,ABRI MATERNEL,,"Aider les femmes attendant ou ayant un ou plusieurs enfants et les familles qui se trouvent en difficulté pour diverses raisons, et notamment à cause : 
- de leur solitude,
- des difficultés de logement,
- du manque de qualification professionnelle,
- de manque de ressources,
- de leur état de santé,
en facilitant leur réinsertion familiale, sociale et professionnelle pour une plus grande autonomie.",27/04/1927,08/03/2016,18000 services medico-sociaux,SIEGE,"75, boulevard de la Blancarde",,13004,MARSEILLE
13.000.1026,1026,ŒUVRE DE NOTRE DAME DE LA PROVIDENCE,,"Recueillir les enfants de sexe féminin et les jeunes filles pauvres, délaissées ou qui, travaillant pour gagner leur vie, ont besoin d'être aidées.",12/01/1859,12/11/1968,19000 interventions sociales,SIEGE,,,13100,AIX-EN-PROVENCE
69.000.1027,1027,"AMIS DE ""SOURCES CHRETIENNES""",ASSOCIATION DES,Grouper des personnes désireuses de promouvoir la connaissance de l'histoire du christianisme ancien et une prise de conscience plus claire de l'unité et des richesses spirituelles de la civilisation méditerranéenne et occidentale.,09/01/1960,17/05/2011,06000 culture,SIEGE,22 rue Sala,,69002,LYON
49.000.1028,1028,ETUDIANTS ANGEVINS,ASSOCIATION GENERALE DES,Établir des liens de solidarité et d'amitié entre ses membres.,02/01/1930,,15000 éducation formation,SIEGE,Jardin des Beaux Arts,,49000,ANGERS
34.000.1029,1029,PENITENTS BLANCS DE MONTPELLIER,ASSOCIATION DES,Continuer l'œuvre des pénitents blancs de la ville de MONTPELLIER telle qu'elle résulte de la tradition historique.,14/06/1950,,20000 caritatives humanit. dev,SIEGE,"14, rue Jacques Cœur",,34000,MONTPELLIER
75.000.1030,1030,SOCIETE DES AMIS DE L'ECOLE DES CHARTES,,Donner appui moral et financier à cet établissement et assurer son développement.,15/06/1928,,15000 éducation formation,SIEGE,"19, rue de la Sorbonne",,75005,PARIS
75.000.1031,1031,LA CONFERENCE MOLE-TOCQUEVILLE,,L'étude en commun et la discussion de questions de législation d'histoire et d'économie politique.,30/04/1897,,16000 recherche,SIEGE,"22, avenue d'Eylau",,75016,PARIS
92.000.1032,1032,SPECIAL OLYMPICS FRANCE (SOF),ASSOCIATION,"L'association dite ""SPECIAL OLYMPICS FRANCE"" dénommée sous le sigle SOF, fondée en 1991; accréditée par SPECIAL OLYMPICS INTERNATIONAL, ce dernier ayant la reconnaissance officielle du COMITE INTERNATIONAL OLYMPIQUE (CIO) a pour objet...",17/01/2013,,11000 sports,SIEGE,La Défense 9,Puteaux,92067,LA DEFENSE CEDEX
75.000.1033,1033,CENTRES CULTURELS DE RENCONTRE,ASSOCIATION DES,"Développer, dans le respect de leur indépendance et l'affirmation de leur vocation, le rayonnement régional, international de ces centres.",09/05/1983,26/01/2011,09000 action socioculturelle,SIEGE,38 rue Faubourg Saint-Jacques,,75014,PARIS
75.000.1034,1034,FRERES DES HOMMES,,"Contribuer directement ou indirectement au développement des populations défavorisées du monde, d'Asie, d'Afrique, d'Amérique Latine, d'Europe, et particulièrement en France.",03/02/1988,16/07/1997,20000 caritatives humanit. dev,SIEGE,"2, rue de Savoie",,75006,PARIS
